party_identifier,event_count,rera_complaint_count,mutation_rejection_count,cpgrams_escalation_count,cersai_flag_count,avg_days_between_events,multi_portal_escalation_score,events_last_30_days,events_last_60_days,state,district,predicted_dispute_type,label
PID-65414,1,0,0,1,0,999,0.2,1,1,Uttar Pradesh,Kanpur,consumer,0
PID-98498,4,1,0,0,0,16.3,0.8,1,3,Delhi,East Delhi,property_boundary,1
PID-17839,4,2,1,0,0,17.7,0.6,2,3,Telangana,Hyderabad,rent_tenancy,1
PID-61542,2,1,0,0,0,66.0,0.4,1,1,Tamil Nadu,Salem,property_ownership,0
PID-59173,2,0,0,0,1,60.0,0.4,1,1,Delhi,West Delhi,family_inheritance,0
PID-62109,2,0,0,0,0,77.0,0.4,1,1,Karnataka,Mysuru,consumer,0
PID-93755,1,0,0,0,0,999,0.2,1,1,Karnataka,Mangaluru,property_boundary,0
PID-64548,3,1,0,0,0,42.5,0.6,1,2,Bihar,Muzaffarpur,property_ownership,0
PID-98516,3,0,0,1,0,66.5,0.4,1,1,Haryana,Faridabad,neighbourhood,0
PID-95526,3,0,0,0,0,48.0,0.6,1,2,Andhra Pradesh,Vijayawada,employment,0
PID-59545,2,0,0,0,0,42.0,0.4,1,1,Kerala,Kochi,consumer,0
PID-60354,4,0,0,1,1,5.0,0.6,2,4,Bihar,Patna,consumer,1
PID-49117,2,0,0,0,1,47.0,0.4,1,2,Gujarat,Rajkot,property_ownership,0
PID-44108,4,0,0,0,0,13.3,0.4,2,4,Karnataka,Hubli-Dharwad,employment,1
PID-75797,8,2,2,1,1,17.1,1.0,1,3,Gujarat,Vadodara,property_ownership,1
PID-18724,3,3,0,0,0,16.5,0.2,2,3,Maharashtra,Nashik,property_ownership,1
PID-46559,6,2,0,0,1,16.4,0.8,2,4,Haryana,Gurugram,rent_tenancy,1
PID-26634,7,0,0,2,0,15.8,0.6,3,4,Gujarat,Surat,neighbourhood,1
PID-67537,7,1,2,0,0,14.5,1.0,1,4,Kerala,Thiruvananthapuram,rent_tenancy,1
PID-67266,3,1,1,1,0,58.5,0.6,1,1,Rajasthan,Kota,property_boundary,0
PID-80062,8,1,4,0,0,13.7,0.8,2,3,West Bengal,Asansol,rent_tenancy,1
PID-20602,1,0,1,0,0,999,0.2,1,1,Karnataka,Bengaluru Urban,rent_tenancy,0
PID-25026,3,0,1,1,0,84.0,0.2,1,1,Uttar Pradesh,Agra,rent_tenancy,0
PID-54880,7,2,0,0,2,15.0,0.8,1,3,Madhya Pradesh,Gwalior,property_ownership,1
PID-92986,2,0,0,0,0,63.0,0.4,1,1,Punjab,Ludhiana,contract_breach,0
PID-95982,2,0,0,0,0,47.0,0.4,1,2,Rajasthan,Jodhpur,property_ownership,0
PID-33918,2,0,0,0,0,68.0,0.4,1,1,Gujarat,Rajkot,rent_tenancy,0
PID-76431,1,0,0,0,0,999,0.2,1,1,Andhra Pradesh,Tirupati,other_civil,0
PID-60006,3,0,0,2,0,54.0,0.6,1,1,Maharashtra,Nagpur,neighbourhood,0
PID-53983,2,1,0,1,0,49.0,0.4,1,1,Gujarat,Rajkot,property_ownership,0
PID-40775,7,0,1,1,0,16.8,0.6,3,4,Maharashtra,Mumbai,rent_tenancy,1
PID-69890,3,0,0,0,0,9.0,0.6,3,3,Maharashtra,Thane,employment,1
PID-21923,3,2,0,0,0,44.0,0.4,1,1,Bihar,Darbhanga,rent_tenancy,0
PID-90321,1,1,0,0,0,999,0.2,1,1,Maharashtra,Pune,rent_tenancy,0
PID-79176,6,3,1,0,0,10.6,0.6,1,5,West Bengal,Asansol,rent_tenancy,1
PID-90818,4,1,0,0,0,10.3,0.6,3,4,Bihar,Darbhanga,property_ownership,1
PID-48149,5,1,1,1,0,14.8,0.8,1,3,Andhra Pradesh,Visakhapatnam,property_ownership,1
PID-63252,6,1,2,0,1,12.4,0.8,1,4,Bihar,Bhagalpur,property_boundary,1
PID-38863,1,0,0,0,0,999,0.2,1,1,Delhi,West Delhi,employment,0
PID-36005,1,0,0,0,0,999,0.2,1,1,Tamil Nadu,Chennai,money_loan,0
PID-30983,2,1,0,1,0,70.0,0.4,1,1,West Bengal,Kolkata,rent_tenancy,0
PID-26808,6,0,2,1,0,19.0,0.6,2,4,Delhi,East Delhi,property_boundary,1
PID-18678,4,1,0,0,0,14.0,0.8,1,3,Gujarat,Vadodara,property_ownership,1
PID-89204,1,0,0,0,0,999,0.2,1,1,Madhya Pradesh,Jabalpur,money_loan,0
PID-76479,6,1,0,2,1,12.2,0.8,1,4,Gujarat,Surat,property_boundary,1
PID-17969,3,1,1,1,0,78.0,0.6,1,1,Tamil Nadu,Salem,rent_tenancy,0
PID-38723,3,1,0,0,1,41.5,0.6,1,2,Telangana,Karimnagar,property_ownership,0
PID-57689,3,1,1,0,1,64.5,0.6,1,1,Rajasthan,Udaipur,property_boundary,0
PID-68229,2,0,0,0,0,75.0,0.4,1,1,Gujarat,Rajkot,other_civil,0
PID-38278,1,0,0,0,0,999,0.2,1,1,Gujarat,Gandhinagar,neighbourhood,0
PID-27103,4,1,0,1,0,14.3,0.6,2,4,Delhi,West Delhi,property_boundary,1
PID-47634,3,1,0,0,1,61.5,0.6,1,1,Maharashtra,Mumbai,property_boundary,0
PID-53256,2,0,1,0,1,33.0,0.4,1,2,Haryana,Ambala,rent_tenancy,0
PID-71300,5,0,2,1,0,18.2,0.8,2,3,Uttar Pradesh,Noida,property_ownership,1
PID-86927,7,1,1,3,0,16.2,1.0,2,3,Bihar,Gaya,property_ownership,1
PID-48999,7,1,0,2,0,15.8,0.8,1,3,West Bengal,Asansol,rent_tenancy,1
PID-46459,8,0,2,1,0,11.9,0.6,1,3,Uttar Pradesh,Lucknow,rent_tenancy,1
PID-83250,5,1,0,2,1,8.8,1.0,1,5,Kerala,Kozhikode,rent_tenancy,1
PID-58438,1,0,0,0,0,999,0.2,1,1,Telangana,Nizamabad,other_civil,0
PID-58503,1,0,0,0,0,999,0.2,1,1,Uttar Pradesh,Lucknow,contract_breach,0
PID-23386,1,0,0,0,0,999,0.2,1,1,Gujarat,Vadodara,neighbourhood,0
PID-83763,3,0,0,0,0,25.0,0.4,1,2,Tamil Nadu,Tiruchirappalli,property_ownership,1
PID-33144,1,0,1,0,0,999,0.2,1,1,West Bengal,Siliguri,rent_tenancy,0
PID-26577,3,2,0,0,0,17.0,0.4,1,3,Bihar,Muzaffarpur,rent_tenancy,1
PID-76847,1,0,1,0,0,999,0.2,1,1,Maharashtra,Pune,property_ownership,0
PID-60371,6,1,2,0,0,15.2,1.0,2,3,Uttar Pradesh,Agra,property_boundary,1
PID-74511,3,0,0,0,1,6.5,0.4,2,3,Tamil Nadu,Tiruchirappalli,rent_tenancy,1
PID-62144,2,1,0,0,0,86.0,0.4,1,1,Bihar,Darbhanga,property_boundary,0
PID-59390,1,0,0,0,1,999,0.2,1,1,Uttar Pradesh,Agra,other_civil,0
PID-27721,2,1,0,1,0,47.0,0.4,1,1,Bihar,Darbhanga,property_boundary,0
PID-24654,3,0,0,1,0,76.0,0.4,1,1,Kerala,Thiruvananthapuram,consumer,0
PID-18593,3,0,1,1,0,20.0,0.6,2,3,Uttar Pradesh,Noida,property_boundary,1
PID-37656,2,0,0,0,2,39.0,0.4,1,1,West Bengal,Durgapur,family_inheritance,0
PID-36236,2,1,0,0,0,69.0,0.4,1,1,Kerala,Kannur,rent_tenancy,0
PID-92500,3,1,1,1,0,47.5,0.6,1,2,Karnataka,Mangaluru,rent_tenancy,0
PID-96397,7,1,1,3,0,16.7,1.0,3,4,West Bengal,Siliguri,property_ownership,1
PID-60662,2,1,0,1,0,50.0,0.4,1,1,Andhra Pradesh,Guntur,property_boundary,0
PID-69302,6,1,2,0,0,13.6,0.8,2,5,Haryana,Gurugram,property_boundary,1
PID-30278,2,0,0,1,0,90.0,0.4,1,1,Punjab,Amritsar,other_civil,0
PID-17730,3,1,1,0,0,64.0,0.6,1,2,Delhi,South Delhi,rent_tenancy,0
PID-47946,1,0,0,0,0,999,0.2,1,1,West Bengal,Asansol,consumer,0
PID-45836,1,0,0,1,0,999,0.2,1,1,Punjab,Amritsar,other_civil,0
PID-48759,4,1,0,1,1,18.3,0.8,2,3,Maharashtra,Thane,property_boundary,1
PID-75034,3,0,1,0,1,17.5,0.4,1,2,Telangana,Nizamabad,property_ownership,1
PID-50197,7,1,2,1,1,8.3,0.8,1,4,Delhi,West Delhi,property_ownership,1
PID-12611,1,1,0,0,0,999,0.2,1,1,Uttar Pradesh,Noida,property_ownership,0
PID-24330,1,0,0,0,0,999,0.2,1,1,Kerala,Kochi,contract_breach,0
PID-10580,2,0,0,1,0,30.0,0.2,1,2,Punjab,Jalandhar,neighbourhood,0
PID-16600,1,0,1,0,0,999,0.2,1,1,Kerala,Kochi,property_boundary,0
PID-48922,1,0,0,0,1,999,0.2,1,1,Madhya Pradesh,Ujjain,family_inheritance,0
PID-76652,7,3,1,1,0,9.7,0.6,2,6,Telangana,Warangal,rent_tenancy,1
PID-42508,3,1,0,2,0,64.0,0.6,1,1,Karnataka,Hubli-Dharwad,property_ownership,0
PID-29867,1,0,0,1,0,999,0.2,1,1,Rajasthan,Kota,other_civil,0
PID-15623,3,0,0,1,1,35.5,0.6,1,2,Kerala,Kozhikode,other_civil,0
PID-39406,1,0,0,0,1,999,0.2,1,1,Gujarat,Rajkot,family_inheritance,0
PID-47808,3,0,0,0,1,58.5,0.6,1,1,Telangana,Khammam,other_civil,0
PID-47358,2,1,0,0,1,52.0,0.4,1,2,Tamil Nadu,Chennai,rent_tenancy,0
PID-92619,4,0,1,0,0,13.0,0.4,1,3,Tamil Nadu,Coimbatore,property_boundary,1
PID-67337,2,1,0,1,0,89.0,0.4,1,1,West Bengal,Durgapur,property_ownership,0
PID-80787,2,1,0,0,0,77.0,0.4,1,1,Telangana,Hyderabad,property_ownership,0
PID-47105,5,2,1,0,1,5.5,0.8,2,5,Karnataka,Mysuru,rent_tenancy,1
PID-56573,2,0,0,0,1,43.0,0.4,1,1,Delhi,North Delhi,other_civil,0
PID-26131,3,1,1,0,0,6.5,0.6,3,3,Andhra Pradesh,Nellore,property_boundary,1
PID-54914,6,1,0,2,0,11.2,0.8,1,4,Tamil Nadu,Coimbatore,property_boundary,1
PID-86992,3,0,0,0,0,14.0,0.6,1,3,Bihar,Muzaffarpur,property_ownership,1
PID-65441,7,1,1,2,0,11.7,0.8,1,3,West Bengal,Kolkata,property_boundary,1
PID-52147,4,1,1,0,1,17.0,0.8,1,3,Kerala,Kannur,rent_tenancy,1
PID-56677,3,1,0,0,0,14.0,0.6,1,3,Haryana,Karnal,property_boundary,1
PID-58231,8,1,0,0,1,15.9,1.0,1,3,Bihar,Gaya,property_ownership,1
PID-18270,8,5,0,0,2,14.4,0.8,2,4,Tamil Nadu,Coimbatore,property_ownership,1
PID-32664,1,1,0,0,0,999,0.2,1,1,Madhya Pradesh,Gwalior,property_ownership,0
PID-93776,3,1,1,0,0,16.0,0.6,1,3,Karnataka,Belagavi,property_ownership,1
PID-92998,3,1,0,0,0,82.5,0.6,1,1,Haryana,Panipat,property_ownership,0
PID-77366,3,1,0,0,1,67.5,0.6,1,1,West Bengal,Asansol,rent_tenancy,0
PID-74003,4,0,2,0,0,6.7,0.6,1,4,Telangana,Hyderabad,rent_tenancy,1
PID-86507,3,0,2,1,0,52.0,0.4,1,1,Maharashtra,Thane,property_boundary,0
PID-66907,3,0,1,1,0,58.0,0.4,1,1,Madhya Pradesh,Bhopal,rent_tenancy,0
PID-15713,3,0,0,1,0,15.0,0.6,1,3,Karnataka,Mangaluru,neighbourhood,1
PID-88154,4,1,1,0,1,12.3,0.6,1,2,Haryana,Gurugram,property_ownership,1
PID-67196,3,1,0,2,0,49.5,0.6,1,2,Rajasthan,Kota,rent_tenancy,0
PID-58554,6,0,0,1,1,19.6,0.8,2,3,Madhya Pradesh,Gwalior,consumer,1
PID-27331,2,1,0,0,0,74.0,0.4,1,1,Telangana,Nizamabad,property_boundary,0
PID-75797,1,0,0,0,0,999,0.2,1,1,Bihar,Gaya,family_inheritance,0
PID-19548,1,1,0,0,0,999,0.2,1,1,Kerala,Thrissur,property_boundary,0
PID-59832,7,2,0,1,0,11.0,0.8,2,4,Tamil Nadu,Madurai,rent_tenancy,1
PID-40717,3,0,1,1,0,70.5,0.6,1,1,Karnataka,Mysuru,property_boundary,0
PID-52695,1,0,0,0,0,999,0.2,1,1,West Bengal,Siliguri,money_loan,0
PID-27605,7,4,1,0,0,18.2,0.6,1,3,Delhi,East Delhi,property_ownership,1
PID-65215,6,2,0,0,0,11.0,0.8,3,5,Rajasthan,Ajmer,property_boundary,1
PID-15316,2,0,0,1,0,67.0,0.4,1,1,Rajasthan,Ajmer,consumer,0
PID-39110,7,3,0,1,0,16.8,0.4,1,3,Uttar Pradesh,Varanasi,property_boundary,1
PID-72935,1,0,0,0,0,999,0.2,1,1,Bihar,Patna,property_ownership,0
PID-40470,1,1,0,0,0,999,0.2,1,1,Kerala,Thiruvananthapuram,rent_tenancy,0
PID-98963,2,1,0,0,0,43.0,0.4,1,2,Andhra Pradesh,Guntur,property_ownership,0
PID-68847,6,1,1,0,1,16.8,0.8,2,4,Telangana,Warangal,property_boundary,1
